,keyword,sentence_ID,xlm_K-rank,xlm_K-sim,xlm_S-rank,xlm_S-sim,dist_K-rank,dist_K-sim,dist_S-rank,dist_S-sim
679,multa,55fdbb4_174,15000,0.0,4607,0.37,15000,0.0,4156,0.22
680,multa,55fdbb4_180,15000,0.0,5726,0.35,15000,0.0,15000,0.0
681,multa,55fdbb4_306,15000,0.0,247,0.59,15000,0.0,372,0.48
682,multa,55fdbb4_307,15000,0.0,140,0.62,15000,0.0,254,0.53
683,multa,55fdbb4_308,15000,0.0,1459,0.48,15000,0.0,146,0.58
684,multa,55fdbb4_309,15000,0.0,831,0.52,15000,0.0,1007,0.37
685,multa,55fdbb4_311,6511,0.31,454,0.56,15000,0.0,1346,0.34
686,multa,55fdbb4_312,15000,0.0,620,0.55,15000,0.0,637,0.42
687,multa,55fdbb4_314,15000,0.0,424,0.57,15000,0.0,565,0.43
688,multa,55fdbb4_516,5609,0.32,1934,0.45,15000,0.0,4114,0.23
689,multa,5705f27_152,15000,0.0,15000,0.0,15000,0.0,15000,0.0
690,multa,5705f27_187,15000,0.0,3631,0.4,15000,0.0,655,0.42
691,multa,5705f27_196,15000,0.0,2237,0.44,15000,0.0,573,0.43
692,multa,5705f27_206,9561,0.27,482,0.56,15000,0.0,2355,0.29
693,multa,5705f27_208,15000,0.0,1836,0.46,15000,0.0,3076,0.26
694,multa,5705f27_215,15000,0.0,5015,0.37,15000,0.0,3072,0.26
695,multa,5705f27_216,15000,0.0,296,0.58,15000,0.0,446,0.46
696,multa,5705f27_217,15000,0.0,43,0.7,15000,0.0,9,0.73
697,multa,5705f27_229,15000,0.0,116,0.63,15000,0.0,109,0.6
698,multa,5a4270a_54,15000,0.0,1533,0.47,15000,0.0,165,0.57
699,multa,5a4270a_55,15000,0.0,5580,0.36,15000,0.0,15000,0.0
700,multa,5a4270a_57,15000,0.0,1689,0.47,15000,0.0,1510,0.33
701,multa,5a4270a_58,15000,0.0,2319,0.44,15000,0.0,877,0.39
702,multa,5a4270a_59,15000,0.0,3407,0.4,15000,0.0,1111,0.36
703,multa,5a4270a_60,15000,0.0,3193,0.41,15000,0.0,1241,0.35
704,multa,5a4270a_62,15000,0.0,1082,0.5,15000,0.0,465,0.46
705,multa,5a4270a_63,15000,0.0,1785,0.46,15000,0.0,1021,0.37
706,multa,5a4270a_64,15000,0.0,8714,0.31,15000,0.0,1128,0.36
707,multa,5a4270a_65,15000,0.0,1667,0.47,15000,0.0,2703,0.28
708,multa,5a4270a_66,15000,0.0,4364,0.38,15000,0.0,800,0.4
709,multa,5a4270a_67,15000,0.0,3748,0.39,15000,0.0,1719,0.32
